date,code,rank,brand,product,price,like
20260323,3778681,147,려원담,"[추천GIFT] ""면역력과 피로개선"" 6년근 홍삼정 에버타임 스탠다드 홍삼 스틱 30포 (원통)",18900,9306
20260323,12932413,148,동국제약,"""65만 고역가 효소"" 동국제약 마이핏 유기농 제주 리얼 말차맛 효소 1박스 (30포)",9900,5863
20260323,862716,149,종근당,"""면역력 건강"" 애니타임 골드 6년근 홍삼정/ 녹용 스틱 30포 1세트 (2종 택 1) 건강 피로개선 선물",29900,10000
20260323,11570052,150,대웅생명과학,"""피로개선&에너지충전"" 대웅생명과학 액상 멀티비타민 이뮨 앤 피로개선 7병 2박스 /밀크씨슬 액상비타민",30000,2221
20260323,12509278,151,고려은단,"""고함량 비타민C"" 고려은단 메가도스C 3000 100포 X 2개 / 분말비타민C",56000,401
20260323,9590910,152,광동생활건강,"""추위엔 배도라지"" [광동] "" 미세먼지/목 관리 추천"" 배도라지쌍화스틱 30포 1세트(+쇼핑백)",19800,4465
20260323,3333820,153,고려은단,"""혈행건강 선물"" 고려은단 식물성 퓨어 알티지 rTG 오메가3 60캡슐(2개월)",19000,1856
20260323,714537,154,종근당건강,"[카쇼라 증정 이벤트] ""혈행+기억력개선"" 프로메가 오메가3 트리플 장용성 3박스(3개월분) + 락토핏 골드 1개월분 증정",49900,891
20260323,10160796,155,뉴트리포유,"""명품 비타민"" 뉴트리포유 듀얼+ 이뮨 종합 멀티비타민&미네랄 7입 x 2박스 - 선물하기 단독 기획팩",37900,567
20260323,9171595,156,마더네스트,"""목건강"" 마더네스트 호주 프로폴리스 스프레이/리퀴드 원액/허니캔디 300g (택1)",16900,1182
20260323,999294,157,순수식품,"""하루한포의 건강선물"" [단독구성] 도라지배즙 1박스(25포) 배도라지즙",10900,10000
20260323,10190744,158,익스트림,"""종합비타민 선물"" [한팩 종합비타민 멀티비타민+오메가3+루테인+밀크씨슬] 올인원 포맨 멀티팩 30포 1박스",39900,789
